path,dataset,session,subject,trial,label,source
data/demo/Data/Session1/Rasters/Ignore/trial_1.npz,Data,Session1,Session1,1,Ignore,folder
data/demo/Data/Session1/Rasters/Ignore/trial_2.npz,Data,Session1,Session1,2,Ignore,folder
data/demo/Data/Session1/Rasters/Ignore/trial_3.npz,Data,Session1,Session1,3,Ignore,folder
data/demo/Data/Session1/Rasters/Ignore/trial_4.npz,Data,Session1,Session1,4,Ignore,folder
data/demo/Data/Session1/Rasters/Ignore/trial_5.npz,Data,Session1,Session1,5,Ignore,folder
data/demo/Data/Session1/Rasters/Ignore/trial_6.npz,Data,Session1,Session1,6,Ignore,folder
data/demo/Data/Session1/Rasters/Ignore/trial_7.npz,Data,Session1,Session1,7,Ignore,folder
data/demo/Data/Session1/Rasters/Ignore/trial_8.npz,Data,Session1,Session1,8,Ignore,folder
data/demo/Data/Session1/Rasters/Left/trial_9.npz,Data,Session1,Session1,9,Left,folder
data/demo/Data/Session1/Rasters/Left/trial_10.npz,Data,Session1,Session1,10,Left,folder
data/demo/Data/Session1/Rasters/Left/trial_11.npz,Data,Session1,Session1,11,Left,folder
data/demo/Data/Session1/Rasters/Left/trial_12.npz,Data,Session1,Session1,12,Left,folder
data/demo/Data/Session1/Rasters/Left/trial_13.npz,Data,Session1,Session1,13,Left,folder
data/demo/Data/Session1/Rasters/Left/trial_14.npz,Data,Session1,Session1,14,Left,folder
data/demo/Data/Session1/Rasters/Left/trial_15.npz,Data,Session1,Session1,15,Left,folder
data/demo/Data/Session1/Rasters/Left/trial_16.npz,Data,Session1,Session1,16,Left,folder
data/demo/Data/Session1/Rasters/Right/trial_17.npz,Data,Session1,Session1,17,Right,folder
data/demo/Data/Session1/Rasters/Right/trial_18.npz,Data,Session1,Session1,18,Right,folder
data/demo/Data/Session1/Rasters/Right/trial_19.npz,Data,Session1,Session1,19,Right,folder
data/demo/Data/Session1/Rasters/Right/trial_20.npz,Data,Session1,Session1,20,Right,folder
data/demo/Data/Session1/Rasters/Right/trial_21.npz,Data,Session1,Session1,21,Right,folder
data/demo/Data/Session1/Rasters/Right/trial_22.npz,Data,Session1,Session1,22,Right,folder
data/demo/Data/Session1/Rasters/Right/trial_23.npz,Data,Session1,Session1,23,Right,folder
data/demo/Data/Session1/Rasters/Right/trial_24.npz,Data,Session1,Session1,24,Right,folder
data/demo/Data/Session2/Rasters/Ignore/trial_25.npz,Data,Session2,Session2,25,Ignore,folder
data/demo/Data/Session2/Rasters/Ignore/trial_26.npz,Data,Session2,Session2,26,Ignore,folder
data/demo/Data/Session2/Rasters/Ignore/trial_27.npz,Data,Session2,Session2,27,Ignore,folder
data/demo/Data/Session2/Rasters/Ignore/trial_28.npz,Data,Session2,Session2,28,Ignore,folder
data/demo/Data/Session2/Rasters/Ignore/trial_29.npz,Data,Session2,Session2,29,Ignore,folder
data/demo/Data/Session2/Rasters/Ignore/trial_30.npz,Data,Session2,Session2,30,Ignore,folder
data/demo/Data/Session2/Rasters/Ignore/trial_31.npz,Data,Session2,Session2,31,Ignore,folder
data/demo/Data/Session2/Rasters/Ignore/trial_32.npz,Data,Session2,Session2,32,Ignore,folder
data/demo/Data/Session2/Rasters/Left/trial_33.npz,Data,Session2,Session2,33,Left,folder
data/demo/Data/Session2/Rasters/Left/trial_34.npz,Data,Session2,Session2,34,Left,folder
data/demo/Data/Session2/Rasters/Left/trial_35.npz,Data,Session2,Session2,35,Left,folder
data/demo/Data/Session2/Rasters/Left/trial_36.npz,Data,Session2,Session2,36,Left,folder
data/demo/Data/Session2/Rasters/Left/trial_37.npz,Data,Session2,Session2,37,Left,folder
data/demo/Data/Session2/Rasters/Left/trial_38.npz,Data,Session2,Session2,38,Left,folder
data/demo/Data/Session2/Rasters/Left/trial_39.npz,Data,Session2,Session2,39,Left,folder
data/demo/Data/Session2/Rasters/Left/trial_40.npz,Data,Session2,Session2,40,Left,folder
data/demo/Data/Session2/Rasters/Right/trial_41.npz,Data,Session2,Session2,41,Right,folder
data/demo/Data/Session2/Rasters/Right/trial_42.npz,Data,Session2,Session2,42,Right,folder
data/demo/Data/Session2/Rasters/Right/trial_43.npz,Data,Session2,Session2,43,Right,folder
data/demo/Data/Session2/Rasters/Right/trial_44.npz,Data,Session2,Session2,44,Right,folder
data/demo/Data/Session2/Rasters/Right/trial_45.npz,Data,Session2,Session2,45,Right,folder
data/demo/Data/Session2/Rasters/Right/trial_46.npz,Data,Session2,Session2,46,Right,folder
data/demo/Data/Session2/Rasters/Right/trial_47.npz,Data,Session2,Session2,47,Right,folder
data/demo/Data/Session2/Rasters/Right/trial_48.npz,Data,Session2,Session2,48,Right,folder
data/demo/Data2/sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen/NPZ/Ignore/trial49.npz,Data2,sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen,sub-440957,49,Ignore,csv+folder
data/demo/Data2/sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen/NPZ/Ignore/trial50.npz,Data2,sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen,sub-440957,50,Ignore,csv+folder
data/demo/Data2/sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen/NPZ/Ignore/trial51.npz,Data2,sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen,sub-440957,51,Ignore,csv+folder
data/demo/Data2/sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen/NPZ/Ignore/trial52.npz,Data2,sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen,sub-440957,52,Ignore,csv+folder
data/demo/Data2/sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen/NPZ/Ignore/trial53.npz,Data2,sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen,sub-440957,53,Ignore,csv+folder
data/demo/Data2/sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen/NPZ/Ignore/trial54.npz,Data2,sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen,sub-440957,54,Ignore,csv+folder
data/demo/Data2/sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen/NPZ/Ignore/trial55.npz,Data2,sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen,sub-440957,55,Ignore,csv+folder
data/demo/Data2/sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen/NPZ/Ignore/trial56.npz,Data2,sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen,sub-440957,56,Ignore,csv+folder
data/demo/Data2/sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen/NPZ/Left/trial57.npz,Data2,sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen,sub-440957,57,Left,csv+folder
data/demo/Data2/sub-440957/sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen/NPZ/Left/trial58.npz,Data2,sub-440957_ses-20190211T143614_behavior+ecephys+image+ogen,sub-440957,58,Left,csv+folder
